Wavelength (nm),Blue,Green,Yellow,Orange,Red,Ultraviolet,Infrared
760.0,168.54,164.26,161.8,164.46,163.01,152.75,150.82
761.0,167.69,164.81,163.09,164.51,160.54,153.34,150.93
762.0,165.22,166.2,164.64,160.72,161.76,152.46,151.74
763.0,163.55,165.15,164.78,159.83,157.55,150.73,148.44
764.0,165.09,164.28,158.67,160.31,161.23,153.4,152.7
765.0,166.82,163.35,162.88,162.27,163.56,150.97,155.65
766.0,167.02,165.49,162.77,166.84,164.18,149.64,152.9
767.0,176.76,162.93,165.72,165.71,161.62,152.18,153.48
768.0,165.35,160.25,165.1,162.41,161.94,150.98,151.41
769.0,161.85,161.1,160.73,159.03,162.11,146.3,153.22
770.0,162.3,165.89,160.39,155.8,159.94,152.14,148.57
771.0,166.41,163.53,158.65,162.3,158.28,150.72,150.45
772.0,167.81,163.17,164.36,162.36,163.3,149.91,148.01
773.0,170.43,161.69,162.55,163.18,164.47,157.44,155.96
774.0,168.16,166.05,164.82,164.84,161.96,149.57,151.94
775.0,162.05,161.86,161.93,169.87,163.01,151.7,147.27
